Date,Adj Close
12/1/14,379.244995
12/2/14,381.315002
12/3/14,375.01001
12/4/14,369.604004
12/5/14,376.854004
12/6/14,374.785004
12/7/14,375.095001
12/8/14,361.908997
12/9/14,352.218994
12/10/14,346.36499
12/11/14,350.506012
12/12/14,352.541992
12/13/14,347.376007
12/14/14,351.631989
12/15/14,345.345001
12/16/14,327.062012
12/17/14,319.776001
12/18/14,311.395996
12/19/14,317.842987
12/20/14,329.955994
12/21/14,320.842987
12/22/14,331.885986
12/23/14,334.571991
12/24/14,322.533997
12/25/14,319.007996
12/26/14,327.924011
12/27/14,315.863007
12/28/14,317.239014
12/29/14,312.670013
12/30/14,310.737
12/31/14,320.192993
1/1/15,314.248993
1/2/15,315.032013
1/3/15,281.082001
1/4/15,264.195007
1/5/15,274.473999
1/6/15,286.188995
1/7/15,294.337006
1/8/15,283.348999
1/9/15,290.40799
1/10/15,274.79599
1/11/15,265.660004
1/12/15,267.79599
1/13/15,225.860992
1/14/15,178.102997
1/15/15,209.843994
1/16/15,208.097
1/17/15,199.259995
1/18/15,210.339005
1/19/15,214.860992
1/20/15,211.315002
1/21/15,226.897003
1/22/15,233.406006
1/23/15,232.878998
1/24/15,247.847
1/25/15,253.718002
1/26/15,273.472992
1/27/15,263.475006
1/28/15,233.914993
1/29/15,233.513
1/30/15,226.425003
1/31/15,217.464005
2/1/15,226.972
2/2/15,238.229004
2/3/15,227.268005
2/4/15,226.852997
2/5/15,217.110992
2/6/15,222.266006
2/7/15,227.753998
2/8/15,223.412003
2/9/15,220.110001
2/10/15,219.839005
2/11/15,219.184998
2/12/15,221.764008
2/13/15,235.427002
2/14/15,257.321014
2/15/15,234.824997
2/16/15,233.843002
2/17/15,243.610001
2/18/15,236.326004
2/19/15,240.283005
2/20/15,243.779007
2/21/15,244.533997
2/22/15,235.977005
2/23/15,238.891998
2/24/15,238.735001
2/25/15,237.470001
2/26/15,236.425995
2/27/15,253.828003
2/28/15,254.263
3/1/15,260.201996
3/2/15,275.670013
3/3/15,281.701996
3/4/15,273.09201
3/5/15,276.178009
3/6/15,272.722992
3/7/15,276.260986
3/8/15,274.354004
3/9/15,289.606995
3/10/15,291.76001
3/11/15,296.378998
3/12/15,294.354004
3/13/15,285.337006
3/14/15,281.88501
3/15/15,286.393005
3/16/15,290.592987
3/17/15,285.505005
3/18/15,256.299011
3/19/15,260.928009
3/20/15,261.748993
3/21/15,260.024994
3/22/15,267.959991
3/23/15,266.73999
3/24/15,245.595001
3/25/15,246.197006
3/26/15,248.531998
3/27/15,247.029007
3/28/15,252.798004
3/29/15,242.712997
3/30/15,247.526001
3/31/15,244.223999
4/1/15,247.272003
4/2/15,253.005005
4/3/15,254.322006
4/4/15,253.697006
4/5/15,260.597992
4/6/15,255.492004
4/7/15,253.179993
4/8/15,245.022003
4/9/15,243.675995
4/10/15,236.072006
4/11/15,236.552002
4/12/15,236.153
4/13/15,224.587006
4/14/15,219.158997
4/15/15,223.832993
4/16/15,228.572998
4/17/15,222.882004
4/18/15,223.356003
4/19/15,222.600006
4/20/15,224.626007
4/21/15,235.268997
4/22/15,234.175995
4/23/15,236.462006
4/24/15,231.268005
4/25/15,226.389999
4/26/15,219.429993
4/27/15,229.285995
4/28/15,225.854996
